1	Genesis	Gen
2	Exodus	Exo
3	Leviticus	Lev
4	Numbers	Num
5	Deuteronomy	Deu
6	Joshua	Jos
7	Judges	Jdg
8	Ruth	Rut
9	1 Samuel	1Sa
10	2 Samuel	2Sa
11	1 Kings	1Ki
12	2 Kings	2Ki
13	1 Chronicles	1Ch
14	2 Chronicles	2Ch
15	Ezra	Ezr
16	Nehemiah	Neh
17	Esther	Est
18	Job	Job
19	Psalms	Psa
20	Proverbs	Pro
21	Ecclesiastes	Ecc
22	Song of Solomon	Sng
23	Isaiah	Isa
24	Jeremiah	Jer
25	Lamentations	Lam
26	Ezekiel	Ezk
27	Daniel	Dan
28	Hosea	Hos
29	Joel	Jol
30	Amos	Amo
31	Obadiah	Oba
32	Jonah	Jon
33	Micah	Mic
34	Nahum	Nam
35	Habakkuk	Hab
36	Zephaniah	Zep
37	Haggai	Hag
38	Zechariah	Zec
39	Malachi	Mal
40	Tobit	Tob
41	Judith	Jdt
42	Wisdom of Solomon	Wis
43	Sirach	Sir
44	Baruch	Bar
45	1 Maccabees	1Ma
46	2 Maccabees	2Ma
47	Matthew	Mat
48	Mark	Mrk
49	Luke	Luk
50	John	Jhn
51	Acts	Act
52	Romans	Rom
53	1 Corinthians	1Co
54	2 Corinthians	2Co
55	Galatians	Gal
56	Ephesians	Eph
57	Philippians	Php
58	Colossians	Col
59	1 Thessalonians	1Th
60	2 Thessalonians	2Th
61	1 Timothy	1Ti
62	2 Timothy	2Ti
63	Titus	Tit
64	Philemon	Phm
65	Hebrews	Heb
66	James	Jas
67	1 Peter	1Pe
68	2 Peter	2Pe
69	1 John	1Jn
70	2 John	2Jn
71	3 John	3Jn
72	Jude	Jud
73	Revelation	Rev
